loan_amnt,term,int_rate,annual_inc,dti,credit_history_length,revol_util,delinq_2yrs,loan_status,income_to_loan_ratio,high_dti,long_credit_history,high_revol_util
28654,60,12.655856621598186,81374,27.418926726795704,8,4.352018535576274,0,1,2.8398827388846235,1,0,0
20795,36,8.145470681527865,144397,6.437416037400013,14,40.044522645188486,1,0,6.943832652079827,0,1,0
5860,60,17.855038279190936,147480,33.455609825417454,23,13.0365024176891,2,1,25.167235494880547,1,1,0
10390,60,15.72596731594373,60116,26.334802625832985,7,34.98730907001539,4,1,5.785948026948989,1,0,0
34802,60,10.49472502592602,111029,5.203896457583354,21,79.11596870900682,4,1,3.1903051548761567,0,1,1
26575,36,14.595427155647556,123574,27.91569500600642,18,62.6364344476658,2,1,4.650009407337723,1,1,0
16964,60,19.91476630082379,50447,20.42245762298556,12,44.540107778750915,4,1,2.973767979250177,1,1,0
16284,60,9.105433491013171,60431,28.38095511005359,14,9.183330785516041,2,0,3.711066077130926,1,1,0
27118,36,10.858114934034582,47908,20.674904266717654,15,61.91496593147331,1,1,1.7666494579246257,1,1,0
11265,36,11.922219741882303,59336,24.23074572906064,18,16.370965250905034,4,0,5.267288060363959,1,1,0
21850,60,19.934528744020632,70992,28.589949661851215,29,7.65863438616149,1,0,3.2490617848970254,1,1,0
34910,60,21.93845199101814,85350,17.153241637635702,12,66.39960174596078,3,1,2.4448582068175306,0,1,0
9426,36,12.527769928832218,99561,5.081244494613562,10,91.20598978210074,3,0,10.562380649267983,0,0,1
26962,60,10.932417236678365,147254,30.498394878355654,12,46.05934367705223,3,1,5.461538461538462,1,1,0
19423,36,22.788935167033543,81955,16.426710878739875,8,4.099591060811402,3,1,4.219482057354683,0,0,0
33020,36,24.987298643853574,91240,19.881281780497492,27,88.0297717418541,4,1,2.763173834039976,0,1,1
16363,36,18.407072793235983,50093,5.232999264619061,6,6.6973766123574086,2,0,3.061357941697733,0,0,0
32495,60,24.799612299783615,36155,19.76276031050294,24,86.75132427015872,4,1,1.1126327127250346,0,1,1
21023,36,18.1993255560382,76607,34.59462204715189,19,39.1819373222931,4,1,3.643961375636208,1,1,0
13322,36,19.6692054401565,63487,13.348029824563088,1,36.53945386230897,1,0,4.7655757393784715,0,0,0
6685,36,12.773120030870274,143194,16.862548107271344,13,54.27973794564518,2,0,21.420194465220643,0,1,0
5769,60,13.65935093998107,85668,25.6156998940603,22,95.70848174442187,0,0,14.849713988559543,1,1,1
31967,60,7.882713279787903,50963,29.44381002570976,16,89.87405450859782,0,1,1.5942378077392312,1,1,1
28333,36,21.455000295302465,80124,17.52174872018301,18,47.03300883047672,2,1,2.82793915222532,0,1,0
7433,36,23.621180617744002,82870,14.290066112038776,12,69.58232310238185,0,1,11.148930445311448,0,1,0
10311,60,17.46876267388224,86547,33.13477399955201,25,58.04292523434123,2,1,8.393657259237708,1,1,0
10051,60,11.87294616890797,94110,25.314349000150077,5,69.34615790631675,1,0,9.363247438065864,1,0,0
11420,60,8.080326507487325,83554,8.570639134794233,21,82.9327460062097,1,0,7.31646234676007,0,1,1
22568,36,10.303124594106299,50936,7.067836344039459,13,3.4493828868593868,4,0,2.2570010634526763,0,1,0
25939,60,10.108208417036867,146895,19.506495523711074,26,32.575985392789754,0,0,5.663094182505108,0,1,0
24769,36,17.270557683271463,34426,11.602701981418173,8,95.93291082338672,2,1,1.3898825144333642,0,0,1
33693,36,23.90074930727209,118839,12.619542601287606,6,94.93363085249241,1,1,3.5271124565933576,0,0,1
11396,60,5.965437739159629,140816,31.330765364835447,3,1.1220889977462511,4,0,12.356616356616357,1,0,0
34419,36,5.02044599188896,57606,7.68698072948932,25,20.144012992236625,0,0,1.6736686132659286,0,1,0
32480,36,17.00363888628651,77832,26.460923456866688,26,99.37700423443627,0,1,2.3963054187192117,1,1,1
13666,60,10.681209241594305,58151,13.134267601417642,20,49.28250758994859,0,0,4.255158788233572,0,1,0
30658,36,22.61096684677914,109303,27.809846642124132,26,57.28660039668526,1,1,3.565235827516472,1,1,0
23942,36,11.54500615811634,41308,26.672341533906337,4,16.642018552245254,1,1,1.7253362292206165,1,0,0
29233,60,10.794752010577787,139781,5.2217570433287905,12,89.43356087585296,0,0,4.781616666096535,0,1,1
23431,36,10.390212424365945,92522,20.274062387647973,13,23.12642996491129,1,0,3.9487004395885794,1,1,0
7747,60,7.897056545364882,75671,9.179584471341391,2,18.964763001953656,0,0,9.76778107654576,0,0,0
30551,60,16.630609485542212,120306,30.9868109173603,19,22.812240332032818,3,1,3.9378743739975777,1,1,0
31382,36,8.3642720466842,124108,31.147576485872197,4,91.96217026410088,1,1,3.9547511312217196,1,0,1
5189,36,13.492623195805818,136984,17.550374224812742,23,70.28467071768492,2,0,26.39892079398728,0,1,0
24118,60,14.219441045112976,32204,18.331868553532416,13,76.85963944902751,1,1,1.335268264366863,0,1,1
8005,60,5.409840937559489,122769,14.098488182135814,19,37.703635818425276,0,0,15.336539662710805,0,1,0
26042,36,5.33614559642285,117265,26.49818896880093,8,90.91770149305614,2,1,4.502918362644958,1,0,1
6899,36,15.404253775136585,61131,15.759840890793773,8,78.94079523393897,4,0,8.860849398463545,0,0,1
29118,36,18.920694644582646,82428,13.033774235679013,16,75.05973625073213,2,1,2.83082629301463,0,1,1
6267,60,23.842849645608094,63870,17.966931785135248,26,97.09402836729517,2,1,10.19147917663954,0,1,1
22912,36,8.582385683139101,133547,7.744625551623762,11,36.61968307933486,1,0,5.8286923882681565,0,1,0
16394,36,7.065176188721651,134918,27.398096139326114,18,61.09736467958812,2,1,8.229718189581554,1,1,0
8556,36,6.041758138543019,79067,5.377892038153609,4,90.99296989772162,2,0,9.24111734455353,0,0,1
8890,36,13.720831658259005,88585,24.334551845617817,24,79.08889431859525,0,0,9.964566929133857,1,1,1
13838,60,17.462947346719137,137011,10.485935802646171,1,56.3378958225615,1,0,9.901069518716577,0,0,0
32464,60,21.811067135025283,142217,11.972121386432395,1,7.621368478019885,0,1,4.380760226712666,0,0,0
19502,36,18.652897645862627,51607,24.068959959201198,14,65.27234395556732,1,1,2.646241411137319,1,1,0
